molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL1254125,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(C)=O)NC(=O)[C@H](C)NC(C)=O,IC50,'=',180000,nM
CHEMBL2152586,NC(=O)c1ccccc1Oc1ccccc1,IC50,'>',100000,nM
CHEMBL3343654,NC(=O)c1cncc(Oc2cccc3c(NC(=O)c4cccc([N+](=O)[O-])c4)cccc23)c1,IC50,'=',434,nM
CHEMBL2152613,NC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,IC50,'=',1740,nM
CHEMBL1140,NC(=O)c1cccnc1,IC50,'=',49800,nM
CHEMBL291725,CN1C(=O)C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C1=O,IC50,'=',24100,nM
CHEMBL430574,,,,,
CHEMBL215284,,,,,
CHEMBL470972,CC(C)(NC(=O)/C=C/c1ccc(F)cc1)C(=O)NCCc1c[nH]c2ccccc12,IC50,'=',105000,nM
CHEMBL3769975,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3,IC50,'=',1450,nM
CHEMBL491960,O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12,IC50,'=',59000,nM
CHEMBL472516,C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)NCCc1c[nH]c2ccccc12,IC50,'=',109000,nM
CHEMBL407517,COc1cccc(C2CC(=O)Oc3ccc4cc(Br)ccc4c32)c1,IC50,'=',2300,nM
CHEMBL3623254,Cn1c(=O)c2cc(S(=O)(=O)Nc3ccc(Cc4ccncc4)cc3)ccc2n(C)c1=O,IC50,'=',242000,nM
CHEMBL3781485,CSCC[C@H](NC(=O)[C@@H]1CCCCNC(=O)CCC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N1)C(N)=O,IC50,'=',10.1,nM
CHEMBL3770979,N#C/C(=C/c1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12,IC50,'=',3500,nM
CHEMBL3769432,CC(C)[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NC1=O,IC50,'=',1,nM
CHEMBL3769691,CC(Sc1ncccn1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1,IC50,'=',1920,nM
CHEMBL2152576,COc1ccc(Nc2ccccc2C(N)=O)cc1,IC50,'=',80000,nM
CHEMBL2152577,,,,,
CHEMBL2152602,NC(=O)c1ccccc1Nc1cccc(C(=O)Nc2ccccc2)c1,IC50,'=',83000,nM
CHEMBL4074963,O=c1c2c3c(sc2ncn1Cc1cccc2cccnc12)CC(NC1CCCc2ccccc21)CC3,IC50,'=',5490,nM
CHEMBL2203548,C=CCN1C(=O)/C(=C/c2ccc(-c3cccc(Cl)c3Cl)o2)C(=O)NC1=S,IC50,'=',2800,nM
CHEMBL3350587,,,,,
CHEMBL3350588,,,,,
CHEMBL2332053,CC(=S)NCCN1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,IC50,'=',130,nM
CHEMBL3350584,,,,,
CHEMBL1775011,,,,,
CHEMBL4798944,CN(C)c1ccnc(C(=O)NCCSC(c2ccccc2)(c2ccccc2)c2ccccc2)c1,IC50,'>',100000,nM
CHEMBL492309,CC(=S)NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)O,IC50,'=',151000,nM
CHEMBL503595,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)O,IC50,'=',238000,nM
CHEMBL4751357,CCOC(=O)C[C@@H]1C[C@@H](C(C)C)[C@H](CNC(=O)c2cncnc2)C=C1C,IC50,'=',47900,nM
CHEMBL4171986,Cc1cc(C)nc(SCC(=O)Nc2cccc(COc3ccc(NC(=O)C4CCOCC4)cc3)c2)n1,IC50,'=',1318.26,nM
CHEMBL4167724,O=C(CSc1nnc2ccccn12)Nc1cccc(COc2ccc(NC(=O)c3cccs3)cc2)c1,IC50,'>',301995.17,nM
CHEMBL4165789,O=C(COc1cccc2ccccc12)Nc1cccc(COc2ccc(NC(=O)c3cccs3)cc2)c1,IC50,'>',301995.17,nM
CHEMBL220458,,,,,
CHEMBL4743384,c1ccc(C(SCCNCc2ccccn2)(c2ccccc2)c2ccccc2)cc1,IC50,'=',39300,nM
CHEMBL1410976,COc1cc(C=C2C(=O)OC(c3ccccc3)OC2=O)cc(Br)c1O,IC50,'=',54040,nM
CHEMBL4800545,COc1cc(C=C2C(=O)OC(c3ccccc3)OC2=O)cc(I)c1O,IC50,'=',49450,nM
CHEMBL4574578,CCCCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1,IC50,'=',36,nM
CHEMBL4569471,CNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1,IC50,'>',100000,nM
CHEMBL4798823,CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1,IC50,'=',69,nM
CHEMBL4171097,Cc1cccc(SCC(=O)Nc2cccc(COc3ccc(NC(=O)c4cccs4)cc3)c2)c1,IC50,'>',300000,nM
CHEMBL3343655,NC(=O)c1cncc(Oc2cccc3c(NC(=O)c4ccncc4)cccc23)c1,IC50,'=',955,nM
CHEMBL3343651,Cc1ccc(C(=O)Nc2cccc3c(Oc4cncc(C(N)=O)c4)cccc23)cc1[N+](=O)[O-],IC50,'=',978,nM
CHEMBL3601366,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)Nc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,IC50,,,
CHEMBL3601366,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)Nc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,IC50,,,
CHEMBL4090249,CC(=O)OCCCc1nc(-c2ccc(Cl)cc2)no1,IC50,'=',21200,nM
CHEMBL3354198,O=C1CC(CCCCCO)Oc2c(Br)cc(Cl)cc21,IC50,,,
CHEMBL3805479,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(-c4cccs4)cc3)c2)c1,IC50,'=',26.3,nM
CHEMBL3608447,CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CNC(C)=O)NC(C)=O)C(N)=O,IC50,'=',11900,nM
CHEMBL4452438,COc1cc2ccccc2cc1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3,IC50,'=',1450,nM
CHEMBL3804850,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(F)cc3)c2)c1,IC50,'=',36.8,nM
CHEMBL3805426,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(F)c(F)c3)c2)c1,IC50,'=',41.8,nM
CHEMBL3806033,CC(C)(C)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,IC50,'=',113,nM
CHEMBL595354,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1,IC50,'=',27000,nM
CHEMBL4103565,FC(F)(F)c1ccc(-c2noc(CCCBr)n2)cc1,IC50,'=',3900,nM
CHEMBL4104964,BrCCCCc1nc(-c2ccc(Br)cc2)no1,IC50,'=',2600,nM
CHEMBL4081171,O=c1c2c3c(sc2ncn1Cc1ccc2ccccc2c1)CC(NCCc1cccnc1)CC3,IC50,'=',8680,nM
CHEMBL4079965,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NC1CCCc2ccccc21)C3,IC50,,,
CHEMBL4085212,O=c1c2c3c(sc2ncn1Cc1cccc2ccccc12)CC(Nc1ccc2c(c1)OCO2)CC3,IC50,,,
CHEMBL4100678,COCCNC1CCc2c(sc3ncn(Cc4c(OC)ccc5ccccc45)c(=O)c23)C1,IC50,,,
CHEMBL4101486,COc1ccc(Cn2cnc3sc4c(c3c2=O)CCC(NCCNC(C)=O)C4)c2ccccc12,IC50,,,
CHEMBL4097111,CC(=O)NCCNC1CCc2c(sc3ncn(Cc4cccc5cccnc45)c(=O)c23)C1,IC50,,,
CHEMBL4083397,COc1cccc(Cn2cnc3sc4c(c3c2=O)CCC(NC2CCc3ccccc32)C4)c1,IC50,,,
